name;GAP_min;GAP_max;AVG_gap;AVG_speech;ratio
50_first_dates;966;6462;1617.50;2531.66;1.565
alexander;1080;6240;2563.96;2988.80;1.166
alice_in_wonderland;792;7007;3151.00;2447.57;0.777
antz;955;5916;956.68;2888.81;3.020
asterix_et_obelix_contre_cesar;440;8720;2493.11;2391.98;0.959
australia;151;6599;2669.69;2754.69;1.032
basic_instinct_2;967;5495;2905.00;2610.45;0.899
cars;42;39100;1368.67;2637.84;1.927
casper;520;7000;2157.66;3000.27;1.391
chariots_of_fire;1043;7216;3332.17;3449.32;1.035
despicable_2;1043;5469;2978.64;2181.22;0.732
ghost;227;12613;1692.10;1957.29;1.157
guardians_of_the_galaxy;398;5802;3214.32;1961.95;0.610
hard_to_kill;659;5063;4941.07;2281.72;0.462
hellboy;1000;5400;3678.48;2298.31;0.625
jobs;1001;6506;2008.69;2184.21;1.087
just_like_heaven;717;6006;879.70;2359.75;2.682
little_rascal;958;301579;3432.87;4060.23;1.183
luther;989;6769;2290.48;2462.70;1.075
monster_inc;448;6080;556.11;1647.13;2.962
nick_and_norah_infinite_playlist;989;6371;2213.75;2322.99;1.049
resident_evil;134;5495;5492.54;2306.64;0.420
shrek;960;7050;618.97;3008.55;4.861
the_40_years_old_virgin;916;9843;853.73;2173.70;2.546
the_addams_family;875;5880;1879.08;2081.50;1.108
the_avengers;668;5714;2128.54;1853.88;0.871
the_fast_and_the_furious;367;5768;4869.32;2522.22;0.518
the_hunger_games;736;5372;4510.21;1783.24;0.395
the_incredibles;80;6030;2685.19;2741.12;1.021
the_last_legion;1000;6088;4673.58;2568.93;0.550
the_lovely_bones;989;6564;4890.04;2285.85;0.467
the_parent_trap;1000;5518;1247.67;2759.67;2.212
the_prince_of_egypt;1045;7845;2397.97;2989.51;1.247
the_princess_bride;1024;6906;1520.68;2416.16;1.589
wallace_and_gromit_the_curse_of_the_were_rabbit;233;5700;3268.06;2677.55;0.819
white_chicks;100;9400;1784.33;2491.72;1.396
x_men_origins_wolverine;723;6000;5054.94;2583.09;0.511
