name;GAP_min;GAP_max;AVG_gap;AVG_speech;ratio
2001_a_space_odyssey;751;5256;5947.98;2490.73;0.419
a_beautiful_mind;750;5464;2748.06;2271.79;0.827
a_walk_to_remember;0;12513;4310.13;3068.63;0.712
about_time;791;5379;1660.93;2149.15;1.294
ai_artificial_intelligence;1068;6205;4187.15;3108.24;0.742
amadeus;1200;8200;2795.63;3577.61;1.280
american_beauty;1000;5880;3352.53;2522.36;0.752
antitrust;417;7966;2643.70;2670.67;1.010
avatar;1000;4462;89509.77;2161.40;0.024
back_to_the_future;958;5088;2197.28;2122.54;0.966
batman_begin;750;10493;2980.77;2422.82;0.813
carandiru;240;6075;3846.26;2467.17;0.641
central_do_brasil;967;7964;4113.46;3759.21;0.914
cidade_de_deus;989;6667;2248.64;3130.49;1.392
city_of_angels;716;4915;4279.13;1727.77;0.404
despicable_me;989;6075;3489.94;2321.43;0.665
downfall;1040;10920;4732.75;3340.16;0.706
eternal_sunshine_of_the_spotless_mind;924;11000;2057.01;2255.52;1.097
finding_nemo;100;30000;704.83;2278.92;3.233
gladiator;949;4958;4801.81;2451.74;0.511
good_will_hunting;918;5922;1163.20;3026.27;2.602
goodbye_bafana;920;6560;2459.50;2491.23;1.013
gran_torino;1000;8340;2061.19;2791.12;1.354
gravity;1000;6978;3986.22;2598.03;0.652
gremlins;796;4915;4560.94;2127.84;0.467
groundhog_day;830;5125;2229.45;2282.27;1.024
hachiko_a_dog_story;800;8100;3379.89;2514.20;0.744
Ice Age 2;384;4798;2820.79;1849.53;0.656
ice_age_3;1500;16700;4845.20;4470.56;0.923
inglorious_basterds;958;184000;5142.72;2509.77;0.488
into_the_wild;1000;7006;4978.10;2925.15;0.588
ip_man;383;22983;4250.41;1892.02;0.445
life_is_beautiful;700;4940;2373.06;2394.59;1.009
lotr_the_fellowship_of_the_ring;300;8500;3982.14;2737.86;0.688
lotr_the_return_of_the_king;680;8700;5340.96;2584.61;0.484
lotr_the_two_towers;900;6462;3791.93;2673.38;0.705
megamind;590;8784;1244.64;2523.79;2.028
million_dollar_baby;960;5960;2636.52;2444.78;0.927
minority_report;1031;6288;2890.04;2966.54;1.026
mr_nobody;446;6630;4632.72;2680.15;0.579
no_country_for_old_men;989;5905;4940.40;2923.38;0.592
o_home_do_futuro;967;13368;2060.02;2620.41;1.272
oceans_eleven;1001;6465;3223.95;2945.90;0.914
october_sky;1160;5840;2207.06;2930.02;1.328
pirates_of_silicon_valley;1227;6494;1730.73;2684.22;1.551
requiem_for_a_dream;965;5900;3465.79;2896.52;0.836
ringu;751;12179;2196.09;2224.84;1.013
ringu_2;954;7910;8060.85;3728.39;0.463
robocop;375;5339;1978.77;2126.27;1.075
scott_pilgrim;989;8473;1140.68;1880.48;1.649
sherlock_holmes;1000;16098;2758.00;2347.19;0.851
silent_hill;967;6303;5111.28;2328.26;0.456
something_the_lord_made;1000;8400;2306.21;3162.73;1.371
tarzan;1002;7173;1687.60;2906.39;1.722
the_butterfly_effect;800;4596;2170.79;2255.52;1.039
the_dark_knight;1000;6255;2377.61;2565.94;1.079
the_dark_knight_rises;0;7390;2910.78;2595.26;0.892
the_edukators;893;9261;4457.00;1930.21;0.433
the_graduate;796;6439;4386.90;3216.33;0.733
the_green_mile;799;9000;3692.37;2312.82;0.626
the_illusionist;1301;5939;3076.67;2910.59;0.946
the_lion_king;1126;7800;1396.86;2527.89;1.810
the_matrix;1000;5421;3647.68;2075.82;0.569
the_notebook;989;7873;1887.64;2295.26;1.216
the_others;543;5046;2905.91;1960.02;0.674
the_pianist;920;6081;6044.88;2902.93;0.480
the_pursuit_of_paphyness;960;7466;2409.45;2541.21;1.055
the_simpsons_movie;417;6090;2861.47;2550.52;0.891
the_sixth_sense;1700;5700;3911.69;2875.00;0.735
the_truman_show;1638;7111;3846.93;4066.74;1.057
the_worlds_fastest_indian;864;6599;1187.01;2911.15;2.453
up;1044;5838;3298.31;2735.75;0.829
v_for_vendetta;1041;6820;1512.58;2828.68;1.870
wall_e;523;6906;5150.88;2160.27;0.419
watchmen;1024;6997;2830.09;2724.83;0.963
zombieland;324;7327;3609.38;2517.23;0.697
