name;GAP_min;GAP_max;AVG_gap;AVG_speech;ratio;target
gran_torino;1000;8340;2061.19;2791.12;1.354;1.0
wall_e;523;6906;5150.88;2160.27;0.419;1.0
the_pursuit_of_paphyness;960;7466;2409.45;2541.21;1.055;1.0
ai_artificial_intelligence;1068;6205;4187.15;3108.24;0.742;1.0
the_graduate;796;6439;4386.90;3216.33;0.733;1.0
no_country_for_old_men;989;5905;4940.40;2923.38;0.592;1.0
gremlins;796;4915;4560.94;2127.84;0.467;1.0
antitrust;417;7966;2643.70;2670.67;1.010;1.0
central_do_brasil;967;7964;4113.46;3759.21;0.914;1.0
the_green_mile;799;9000;3692.37;2312.82;0.626;1.0
something_the_lord_made;1000;8400;2306.21;3162.73;1.371;1.0
watchmen;1024;6997;2830.09;2724.83;0.963;1.0
the_notebook;989;7873;1887.64;2295.26;1.216;1.0
american_beauty;1000;5880;3352.53;2522.36;0.752;1.0
into_the_wild;1000;7006;4978.10;2925.15;0.588;1.0
megamind;590;8784;1244.64;2523.79;2.028;1.0
pirates_of_silicon_valley;1227;6494;1730.73;2684.22;1.551;1.0
about_time;791;5379;1660.93;2149.15;1.294;1.0
cidade_de_deus;989;6667;2248.64;3130.49;1.392;1.0
finding_nemo;100;30000;704.83;2278.92;3.233;1.0
the_matrix;1000;5421;3647.68;2075.82;0.569;1.0
minority_report;1031;6288;2890.04;2966.54;1.026;1.0
the_truman_show;1638;7111;3846.93;4066.74;1.057;1.0
city_of_angels;716;4915;4279.13;1727.77;0.404;1.0
eternal_sunshine_of_the_spotless_mind;924;11000;2057.01;2255.52;1.097;1.0
a_beautiful_mind;750;5464;2748.06;2271.79;0.827;1.0
the_butterfly_effect;800;4596;2170.79;2255.52;1.039;1.0
amadeus;1200;8200;2795.63;3577.61;1.280;1.0
groundhog_day;830;5125;2229.45;2282.27;1.024;1.0
back_to_the_future;958;5088;2197.28;2122.54;0.966;1.0
the_illusionist;1301;5939;3076.67;2910.59;0.946;1.0
carandiru;240;6075;3846.26;2467.17;0.641;1.0
tarzan;1002;7173;1687.60;2906.39;1.722;1.0
ice_age_3;1500;16700;4845.20;4470.56;0.923;1.0
the_dark_knight;1000;6255;2377.61;2565.94;1.079;1.0
alice_in_wonderland;792;7007;3151.00;2447.57;0.777;-1.0
white_chicks;100;9400;1784.33;2491.72;1.396;-1.0
wallace_and_gromit_the_curse_of_the_were_rabbit;233;5700;3268.06;2677.55;0.819;-1.0
the_parent_trap;1000;5518;1247.67;2759.67;2.212;-1.0
the_fast_and_the_furious;367;5768;4869.32;2522.22;0.518;-1.0
nick_and_norah_infinite_playlist;989;6371;2213.75;2322.99;1.049;-1.0
the_40_years_old_virgin;916;9843;853.73;2173.70;2.546;-1.0
shrek;960;7050;618.97;3008.55;4.861;-1.0
the_prince_of_egypt;1045;7845;2397.97;2989.51;1.247;-1.0
the_avengers;668;5714;2128.54;1853.88;0.871;-1.0
jobs;1001;6506;2008.69;2184.21;1.087;-1.0
just_like_heaven;717;6006;879.70;2359.75;2.682;-1.0
little_rascal;958;301579;3432.87;4060.23;1.183;-1.0
alexander;1080;6240;2563.96;2988.80;1.166;-1.0
the_incredibles;80;6030;2685.19;2741.12;1.021;-1.0
the_hunger_games;736;5372;4510.21;1783.24;0.395;-1.0
resident_evil;134;5495;5492.54;2306.64;0.420;-1.0
the_princess_bride;1024;6906;1520.68;2416.16;1.589;-1.0
monster_inc;448;6080;556.11;1647.13;2.962;-1.0
basic_instinct_2;967;5495;2905.00;2610.45;0.899;-1.0
hard_to_kill;659;5063;4941.07;2281.72;0.462;-1.0
antz;955;5916;956.68;2888.81;3.020;-1.0
despicable_2;1043;5469;2978.64;2181.22;0.732;-1.0
50_first_dates;966;6462;1617.50;2531.66;1.565;-1.0
luther;989;6769;2290.48;2462.70;1.075;-1.0
